bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr487,115,hr487-115,hr,https://api.propublica.org/congress/v1/115/bills/hr487.json,To prohibit the Central Intelligence Agency from using an unmanned aerial vehicle to carry out a weapons strike or other deliberately lethal action and to transfer the authority to conduct such strikes or lethal action to the Department of Defense.,Rep.,B001248,Michael C. Burgess,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/487,https://www.govtrack.us/congress/bills/115/hr487,2017-01-12,True,,,,,1,,1,House Armed Services Committee,"['HSAS', 'HLIG']",Armed Forces and National Security
hr488,115,hr488-115,hr,https://api.propublica.org/congress/v1/115/bills/hr488.json,Military Spouse Job Continuity Act of 2017,Rep.,C001090,Matt Cartwright,PA,D,https://www.congress.gov/bill/115th-congress/house-bill/488,https://www.govtrack.us/congress/bills/115/hr488,2017-01-12,False,,,,,80,49,31,House Ways and Means Committee,['HSWM'],Taxation
hr489,115,hr489-115,hr,https://api.propublica.org/congress/v1/115/bills/hr489.json,No Religious Registry Act of 2017,Rep.,D000617,Suzan K. DelBene,WA,D,https://www.congress.gov/bill/115th-congress/house-bill/489,https://www.govtrack.us/congress/bills/115/hr489,2017-01-12,True,,,,,94,94,,House Judiciary Committee,['HSJU'],"Civil Rights and Liberties, Minority Issues"
hr490,115,hr490-115,hr,https://api.propublica.org/congress/v1/115/bills/hr490.json,Heartbeat Protection Act of 2017,Rep.,K000362,Steve King,IA,R,https://www.congress.gov/bill/115th-congress/house-bill/490,https://www.govtrack.us/congress/bills/115/hr490,2017-01-12,True,,,,,173,1,172,House Judiciary Committee,['HSJU'],Crime and Law Enforcement
hr491,115,hr491-115,hr,https://api.propublica.org/congress/v1/115/bills/hr491.json,Let the GSEs Pay Us Back Act of 2017,Rep.,C001037,Michael E. Capuano,MA,D,https://www.congress.gov/bill/115th-congress/house-bill/491,https://www.govtrack.us/congress/bills/115/hr491,2017-01-12,False,,,,,0,,,House Financial Services Committee,['HSBA'],Finance and Financial Sector
hr492,115,hr492-115,hr,https://api.propublica.org/congress/v1/115/bills/hr492.json,End Unnecessary Borrowing Act of 2017,Rep.,C001037,Michael E. Capuano,MA,D,https://www.congress.gov/bill/115th-congress/house-bill/492,https://www.govtrack.us/congress/bills/115/hr492,2017-01-12,False,,,,,0,,,House Financial Services Committee,['HSBA'],Housing and Community Development
hr493,115,hr493-115,hr,https://api.propublica.org/congress/v1/115/bills/hr493.json,Subsidy Reserve Act of 2017,Rep.,C001037,Michael E. Capuano,MA,D,https://www.congress.gov/bill/115th-congress/house-bill/493,https://www.govtrack.us/congress/bills/115/hr493,2017-01-12,False,,,,,2,2,,House Financial Services Committee,['HSBA'],Finance and Financial Sector
hr494,115,hr494-115,hr,https://api.propublica.org/congress/v1/115/bills/hr494.json,Fort Frederica National Monument Boundary Expansion Act,Rep.,C001103,Buddy Carter,GA,R,https://www.congress.gov/bill/115th-congress/house-bill/494,https://www.govtrack.us/congress/bills/115/hr494,2017-01-12,True,2017-02-06,,,,12,4,8,Senate Energy and Natural Resources Committee,"['SSEG', 'HSII']",Public Lands and Natural Resources
hr495,115,hr495-115,hr,https://api.propublica.org/congress/v1/115/bills/hr495.json,Protection of Children Act of 2017,Rep.,C001051,John Carter,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/495,https://www.govtrack.us/congress/bills/115/hr495,2017-01-12,True,,,,,6,,6,House Judiciary Committee,"['HSJU', 'HSFA']",International Affairs
hr496,115,hr496-115,hr,https://api.propublica.org/congress/v1/115/bills/hr496.json,BRIDGE Act,Rep.,C001077,Mike Coffman,CO,R,https://www.congress.gov/bill/115th-congress/house-bill/496,https://www.govtrack.us/congress/bills/115/hr496,2017-01-12,True,,,,,31,16,15,House Judiciary Committee,['HSJU'],Immigration
hr497,115,hr497-115,hr,https://api.propublica.org/congress/v1/115/bills/hr497.json,Santa Ana River Wash Plan Land Exchange Act,Rep.,C001094,Paul Cook,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/497,https://www.govtrack.us/congress/bills/115/hr497,2017-01-12,True,2017-06-27,,,,1,1,,Senate Energy and Natural Resources Committee,"['SSEG', 'HSII']",Public Lands and Natural Resources
hr498,115,hr498-115,hr,https://api.propublica.org/congress/v1/115/bills/hr498.json,Cuba DATA Act,Rep.,C001096,Kevin Cramer,ND,R,https://www.congress.gov/bill/115th-congress/house-bill/498,https://www.govtrack.us/congress/bills/115/hr498,2017-01-12,True,,,,,1,1,,House Energy and Commerce Committee,"['HSIF', 'HSFA']",International Affairs
hr499,115,hr499-115,hr,https://api.propublica.org/congress/v1/115/bills/hr499.json,No Exemption for Washington from Obamacare Act,Rep.,D000621,Ron DeSantis,FL,R,https://www.congress.gov/bill/115th-congress/house-bill/499,https://www.govtrack.us/congress/bills/115/hr499,2017-01-12,True,,,,,3,,3,House Ways and Means Committee,"['HSIF', 'HSWM', 'HSHA', 'HSGO']",Government Operations and Politics
hr500,115,hr500-115,hr,https://api.propublica.org/congress/v1/115/bills/hr500.json,Andrew P. Carpenter Tax Act,Rep.,D000616,Scott DesJarlais,TN,R,https://www.congress.gov/bill/115th-congress/house-bill/500,https://www.govtrack.us/congress/bills/115/hr500,2017-01-12,False,,,,,17,2,15,House Ways and Means Committee,['HSWM'],Taxation
hr501,115,hr501-115,hr,https://api.propublica.org/congress/v1/115/bills/hr501.json,VA Transparency Enhancement Act of 2017,Rep.,D000624,Debbie Dingell,MI,D,https://www.congress.gov/bill/115th-congress/house-bill/501,https://www.govtrack.us/congress/bills/115/hr501,2017-01-12,True,,,,,4,1,3,House Veterans' Affairs Committee,['HSVR'],Armed Forces and National Security
hr502,115,hr502-115,hr,https://api.propublica.org/congress/v1/115/bills/hr502.json,Land and Water Conservation Fund Reauthorization and Fairness Act,Rep.,G000551,Raúl M. Grijalva,AZ,D,https://www.congress.gov/bill/115th-congress/house-bill/502,https://www.govtrack.us/congress/bills/115/hr502,2017-01-12,True,,,,,242,194,48,House Natural Resources Committee,['HSII'],Public Lands and Natural Resources
hr503,115,hr503-115,hr,https://api.propublica.org/congress/v1/115/bills/hr503.json,Responding to Idaho's Judicial Emergency Act of 2017,Rep.,L000573,Raúl Labrador,ID,R,https://www.congress.gov/bill/115th-congress/house-bill/503,https://www.govtrack.us/congress/bills/115/hr503,2017-01-12,False,,,,,0,,,House Judiciary Committee,['HSJU'],Law
hr504,115,hr504-115,hr,https://api.propublica.org/congress/v1/115/bills/hr504.json,"To amend title 36, United States Code, to require that the POW/MIA flag be displayed on all days that the flag of the United States is displayed on certain Federal property.",Rep.,L000567,Leonard Lance,NJ,R,https://www.congress.gov/bill/115th-congress/house-bill/504,https://www.govtrack.us/congress/bills/115/hr504,2017-01-12,False,,,,,8,4,4,House Judiciary Committee,['HSJU'],Government Operations and Politics
hr505,115,hr505-115,hr,https://api.propublica.org/congress/v1/115/bills/hr505.json,Border Security Technology Accountability Act of 2017,Rep.,M001197,Martha McSally,AZ,R,https://www.congress.gov/bill/115th-congress/house-bill/505,https://www.govtrack.us/congress/bills/115/hr505,2017-01-12,True,2017-01-31,,,,20,1,19,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSHM']",Immigration
hr506,115,hr506-115,hr,https://api.propublica.org/congress/v1/115/bills/hr506.json,Preventing Crimes Against Veterans Act of 2017,Rep.,R000583,Tom Rooney,FL,R,https://www.congress.gov/bill/115th-congress/house-bill/506,https://www.govtrack.us/congress/bills/115/hr506,2017-01-12,True,2018-03-14,,,,26,8,18,Senate Judiciary Committee,"['SSJU', 'HSJU']",Crime and Law Enforcement
hr507,115,hr507-115,hr,https://api.propublica.org/congress/v1/115/bills/hr507.json,Zero-based Budgeting Ensures Responsible Oversight (ZERO) Act of 2017,Rep.,R000593,Dennis Ross,FL,R,https://www.congress.gov/bill/115th-congress/house-bill/507,https://www.govtrack.us/congress/bills/115/hr507,2017-01-12,False,,,,,1,,1,House Budget Committee,['HSBU'],Economics and Public Finance
hr508,115,hr508-115,hr,https://api.propublica.org/congress/v1/115/bills/hr508.json,"Seniors Have Eyes, Ears, and Teeth Act of 2017",Rep.,R000486,Lucille Roybal-Allard,CA,D,https://www.congress.gov/bill/115th-congress/house-bill/508,https://www.govtrack.us/congress/bills/115/hr508,2017-01-12,True,,,,,131,130,1,House Ways and Means Committee,"['HSWM', 'HSIF']",Health
hr509,115,hr509-115,hr,https://api.propublica.org/congress/v1/115/bills/hr509.json,ATF Elimination Act,Rep.,S000244,F. James Sensenbrenner,WI,R,https://www.congress.gov/bill/115th-congress/house-bill/509,https://www.govtrack.us/congress/bills/115/hr509,2017-01-12,False,,,,,0,,,House Judiciary Committee,['HSJU'],Crime and Law Enforcement
