bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1050,114,s1050-114,s,https://api.propublica.org/congress/v1/114/bills/s1050.json,INSPIRES Act,Sen.,S001194,Brian Schatz,HI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1050,https://www.govtrack.us/congress/bills/114/s1050,2015-04-22,False,,,,,1,1,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1051,114,s1051-114,s,https://api.propublica.org/congress/v1/114/bills/s1051.json,National Health Service Corps Expansion Act of 2015,Sen.,D000563,Richard J. Durbin,IL,D,https://www.congress.gov/bill/114th-congress/senate-bill/1051,https://www.govtrack.us/congress/bills/114/s1051,2015-04-22,False,,,,,0,,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Health
s1052,114,s1052-114,s,https://api.propublica.org/congress/v1/114/bills/s1052.json,"A bill to require a study on the impact of State and local performance benchmarking and disclosure policies for commercial and multifamily buildings, to provide for competitive awards to utilities, States, and units of local government, and for other purp",Sen.,F000457,Al Franken,MN,D,https://www.congress.gov/bill/114th-congress/senate-bill/1052,https://www.govtrack.us/congress/bills/114/s1052,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1053,114,s1053-114,s,https://api.propublica.org/congress/v1/114/bills/s1053.json,A bill to amend the National Energy Conservation Policy Act to promote alternative fueled vehicle fleets and infrastructure.,Sen.,F000457,Al Franken,MN,D,https://www.congress.gov/bill/114th-congress/senate-bill/1053,https://www.govtrack.us/congress/bills/114/s1053,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1054,114,s1054-114,s,https://api.propublica.org/congress/v1/114/bills/s1054.json,Smart Manufacturing Leadership Act,Sen.,S001181,Jeanne Shaheen,NH,D,https://www.congress.gov/bill/114th-congress/senate-bill/1054,https://www.govtrack.us/congress/bills/114/s1054,2015-04-22,False,,,,,1,,1,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1055,114,s1055-114,s,https://api.propublica.org/congress/v1/114/bills/s1055.json,A bill to require the Administrator of General Services and the Secretary of Energy to set goals for deep energy retrofits in Federal buildings.,Sen.,F000457,Al Franken,MN,D,https://www.congress.gov/bill/114th-congress/senate-bill/1055,https://www.govtrack.us/congress/bills/114/s1055,2015-04-22,False,,,,,0,,,Senate Environment and Public Works Committee,['SSEV'],Energy
s1056,114,s1056-114,s,https://api.propublica.org/congress/v1/114/bills/s1056.json,End Racial Profiling Act of 2015,Sen.,C000141,Benjamin L. Cardin,MD,D,https://www.congress.gov/bill/114th-congress/senate-bill/1056,https://www.govtrack.us/congress/bills/114/s1056,2015-04-22,False,,,,,24,23,,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s1057,114,s1057-114,s,https://api.propublica.org/congress/v1/114/bills/s1057.json,GEO Act,Sen.,W000779,Ron Wyden,OR,D,https://www.congress.gov/bill/114th-congress/senate-bill/1057,https://www.govtrack.us/congress/bills/114/s1057,2015-04-22,False,,,,,1,1,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1058,114,s1058-114,s,https://api.propublica.org/congress/v1/114/bills/s1058.json,Marine and Hydrokinetic Renewable Energy Act of 2015,Sen.,W000779,Ron Wyden,OR,D,https://www.congress.gov/bill/114th-congress/senate-bill/1058,https://www.govtrack.us/congress/bills/114/s1058,2015-04-22,False,,,,,3,2,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1059,114,s1059-114,s,https://api.propublica.org/congress/v1/114/bills/s1059.json,College Options for DREAMers Act,Sen.,H001042,Mazie K. Hirono,HI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1059,https://www.govtrack.us/congress/bills/114/s1059,2015-04-22,False,,,,,3,2,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
